Time,lat,long,rssi,Points
14/07/2024 10:20,51.5385615,-0.0099578,-91,1
14/07/2024 10:35,51.5385615,-0.0099578,-50,2
14/07/2024 10:36,51.5385615,-0.0099578,-95,3
14/07/2024 10:56,51.5385615,-0.0099578,-42,4
14/07/2024 10:58,51.5385615,-0.0099578,-95,5
14/07/2024 11:08,51.5385615,-0.0099578,-41,6
14/07/2024 11:19,51.5385615,-0.0099578,-41,7
14/07/2024 11:28,51.5384882,-0.0107846,-78,8
14/07/2024 11:30,51.5386167,-0.0118141,-77,9
16/07/2024 12:23,51.5394658,-0.0111431,-68,10
16/07/2024 12:25,51.5397132,-0.0127551,-85,11
16/07/2024 12:27,51.5407288,-0.0118499,-61,12
16/07/2024 12:29,51.5402308,-0.0101873,-86,13
16/07/2024 12:31,51.5391163,-0.0093018,-79,14
16/07/2024 14:32,51.5382747,-0.0115154,-67,15
16/07/2024 14:34,51.5393948,-0.0124378,-85,16
16/07/2024 14:36,51.5405207,-0.0136593,-85,17
16/07/2024 14:38,51.5414435,-0.0151294,-90,18
16/07/2024 14:40,51.5422227,-0.0167218,-105,19
16/07/2024 14:42,51.5431808,-0.0175601,-107,20
16/07/2024 14:44,51.5442473,-0.0175173,-102,21
16/07/2024 14:46,51.5454618,-0.0178081,-98,22
16/07/2024 14:49,51.5462162,-0.0178908,-105,23
16/07/2024 14:51,51.547021,-0.0178348,-98,24
16/07/2024 14:52,51.5483142,-0.0181303,-102,25
16/07/2024 14:54,51.5496405,-0.0188528,-104,26
16/07/2024 14:57,51.5507938,-0.0192274,-101,27
16/07/2024 14:58,51.5516795,-0.0202813,-108,28
16/07/2024 15:00,51.551991,-0.0207641,-104,29
16/07/2024 15:12,51.5539658,-0.0265808,-105,30
16/07/2024 15:14,51.5553482,-0.0288656,-109,31
17/07/2024 14:53,51.5386693,-0.0104331,-78,32
17/07/2024 14:55,51.5382065,-0.0119231,-69,33
17/07/2024 14:57,51.5382018,-0.0136254,-70,34
17/07/2024 14:59,51.539394,-0.0132704,-81,35
17/07/2024 15:01,51.5403587,-0.0122789,-87,36
17/07/2024 15:03,51.5399688,-0.0112799,-63,37
17/07/2024 15:05,51.539483,-0.0096601,-81,38
17/07/2024 15:07,51.5401978,-0.0096054,-98,39
17/07/2024 16:00,51.5390892,-0.0106368,-81,40
17/07/2024 16:02,51.5402153,-0.0118723,-77,41
17/07/2024 16:04,51.5409967,-0.0109421,-89,42
17/07/2024 16:06,51.5419113,-0.0093883,-96,43
17/07/2024 16:10,51.5433272,-0.0104456,-99,44
17/07/2024 16:12,51.5438903,-0.0115238,-107,45
17/07/2024 16:14,51.5442018,-0.0122943,-110,46
17/07/2024 16:16,51.5436775,-0.0110598,-98,47
